UTC,HARD_C,MEAN_H_E
2024-10-03 23:18:59,64,66.11484202098862
2024-10-03 23:19:00,334,62.91948011525675
2024-10-03 23:19:07,421,56.62455561820805
2024-10-03 23:19:15,373,65.01926116683191
2024-10-03 23:19:23,398,64.05555623146071
2024-10-03 23:19:31,419,61.90498909322778
2024-10-03 23:19:39,285,56.90116240029576
2024-10-03 23:19:40,142,56.894194157250304
2024-10-03 23:19:44,221,49.21024723980236
2024-10-03 23:19:46,218,45.386799900652505
2024-10-03 23:19:53,398,60.36352591145991
2024-10-03 23:20:01,97,73.17365363848094
2024-10-03 23:20:02,283,55.15503501012693
2024-10-03 23:20:06,367,47.47076515279653
2024-10-03 23:20:08,70,61.48901386428577
2024-10-03 23:20:14,279,65.94549455418758
2024-10-03 23:20:15,99,58.828789236133915
2024-10-03 23:20:21,119,54.745530213444894
2024-10-03 23:20:22,271,60.08470613842649
2024-10-03 23:20:30,395,60.47150811678575
2024-10-03 23:20:31,17,103.31524839028428
2024-10-03 23:20:37,26,68.35758443205835
2024-10-03 23:20:38,383,62.15553172432533
2024-10-03 23:20:45,56,67.75552261177957
2024-10-03 23:20:46,364,60.138847380762314
2024-10-03 23:20:53,61,59.80050073033149
2024-10-03 23:20:54,391,57.528034832955875
2024-10-03 23:21:00,230,50.598881363732
2024-10-03 23:21:01,203,69.1189010575003
2024-10-03 23:21:08,409,65.44966461735532
2024-10-03 23:21:15,170,72.49481960564678
2024-10-03 23:21:16,240,62.87466523398778
2024-10-03 23:21:24,423,60.15028455565818
2024-10-03 23:21:31,417,62.483322050862675
2024-10-03 23:21:38,171,67.91907553167509
2024-10-03 23:21:39,226,59.88084107578717
2024-10-03 23:21:47,347,68.96662100447027
2024-10-03 23:21:54,129,70.98561640714324
2024-10-03 23:21:55,299,54.98352914956931
2024-10-03 23:22:03,424,64.45974805934328
2024-10-03 23:22:09,155,64.46811036753542
2024-10-03 23:22:10,279,61.81035744606266
2024-10-03 23:22:17,375,64.89324358342559
2024-10-03 23:22:25,458,56.15773623740205
2024-10-03 23:22:31,209,56.74834921721568
2024-10-03 23:22:32,228,62.03865475572042
2024-10-03 23:22:40,23,76.49640830342297
2024-10-03 23:22:42,326,68.5250294173606
2024-10-03 23:22:46,346,54.54092431854831
2024-10-03 23:22:48,53,46.45909950926155
2024-10-03 23:22:53,421,61.04038320723047
2024-10-03 23:22:55,11,75.46699094281692
2024-10-03 23:23:02,420,53.27307079337788
2024-10-03 23:23:06,182,73.3111948767546
2024-10-03 23:23:08,190,51.72252973007546
2024-10-03 23:23:14,367,63.126619520289104
2024-10-03 23:23:22,210,57.50062362393744
2024-10-03 23:23:23,199,62.673063461506025
2024-10-03 23:23:30,170,66.60175343019586
2024-10-03 23:23:32,236,59.62044038358216
2024-10-03 23:23:38,339,56.209816830321465
2024-10-03 23:23:39,67,66.55887095388016
2024-10-03 23:23:44,91,74.35201087051273
2024-10-03 23:23:45,352,49.10594942022838
